Compound	toxicity	score	n_refs	pubmed_ids
Cytarabine	nephrotoxicity	1.19	46	23959450,32302426,27383219,34105456,11763664,4040205,31728828,10071595,9093727,17899614,28521176,26377357,11843810,8259097,6542584,17017664,25687839,2778481,32273476,34234243,28614905,11762817,2202204,2425962,17613868,7988265,17940378,8677156,35149851,2245491,31563974,1988578,3728372,1961042,7564374,3894586,10731972,20709662,3040919,28374163,6228218,10963643,22388671,20838546,11876507,16677413
Thiamethoxam	neurotoxicity	3.75	15	35650526,26990785,36155223,29427810,30358909,35351619,28942278,36356732,22393406,29480347,30419375,26513508,34678628,36508784,36507940
Thiamethoxam	hepatotoxicity	3.80	8	15716477,33524747,15716475,30145217,29197058,36508784,30621503,34748890
Thiamethoxam	immunotoxicity	4.35	3	32333347,25538329,31732954
Thiamethoxam	genotoxicity	2.68	8	15716475,30621503,33524747,31732954,34023994,22778521,30520268,22545045
Thiamethoxam	cardiotoxicity	1.35	1	30520268
Puromycin_aminonucleoside	nephrotoxicity	5.04	36	7423117,7033808,32560242,19357181,3976843,13677671,3449640,1453496,9027795,31906131,6617610,20438795,12411747,10612292,6238207,2769936,7310828,6164035,2881769,6170900,501213,3653576,14157624,15805072,13665136,2386429,8864728,9483218,30698047,1082531,12402553,16723111,9249785,2362400,28904298,9013123
Bisphenol_A	nephrotoxicity	0.91	18	32304054,30666577,31563713,35830335,29214717,29255980,36738223,31733573,36533744,19911313,31091348,35616291,29670679,29884847,31234085,36402076,36720896,24720537
Bisphenol_A	hematotoxicity	1.70	1	35674302
Bisphenol_A	immunotoxicity	4.60	35	24189131,27352639,32147374,35430321,29902668,23606268,31499121,29427786,32028014,32791253,34634738,25238107,27088622,36535405,19911313,37019016,31453682,12505275,35357751,33949917,30772709,29195089,32806413,29428349,17915735,26595511,33542403,27104808,28870489,26337065,27415772,29847185,29258957,25913155,33706241
Bisphenol_A	neurotoxicity	3.32	109	35458770,35699857,32278051,29552716,33398767,34681608,27623126,34505250,32926927,34534871,28577381,29524822,36515867,28793400,32151947,32153214,30205345,36410639,29909315,35270035,25618547,34082316,36402076,33182117,33120264,31064381,25903087,34670469,21884766,23485653,35077873,30238234,20926581,35598803,35013969,36535405,34434659,32017977,25804199,24646703,34455033,18155859,24066056,34403186,21790316,35439536,37005279,33771661,26139607,26209558,26141625,37023647,31835337,34242568,29908256,21971502,36656826,34748853,36323096,11137887,22052622,33268678,33878312,17911488,33496947,18521933,35648353,30772709,26613405,33949917,27252377,32927158,20164145,32806413,33582411,33243503,26923231,31874758,31812737,31476513,20858508,36758510,32810514,34342104,34679774,31574244,30953899,26456621,30953815,32866630,32512148,31332466,25454643,22659293,36179902,31362658,26991849,25963729,28790390,33475425,34838597,28551540,32450427,21854843,32334263,32027964,27415772,33918242,32517692
Bisphenol_A	hepatotoxicity	2.91	30	29446025,34082316,29269058,27143994,24587367,36455319,22888396,33493725,30057697,36618322,7641708,35690219,30712204,36632902,35945320,32800225,29235335,22542737,28689058,24981242,31745802,29050942,32791144,29604592,26450347,35593067,32305408,33989918,31563713,34083854
Bisphenol_A	cardiotoxicity	2.14	24	36528156,30903913,35143014,33672782,36423468,29454160,34419494,30840252,22718145,25594700,30496632,32213405,24140712,31518922,36584932,32800257,24811950,30264589,28499613,36791906,37004823,31126002,34619161,32770526
Bisphenol_A	genotoxicity	3.17	110	35753027,28178864,12435848,16462019,31792261,30824780,31713131,29604592,20358847,32075523,12052008,26475400,36669816,23954285,17913570,29524822,36054626,22417675,30678825,19475328,15936980,26982218,23681588,29235998,22717255,33736268,32244372,20837082,36571243,21073950,36239825,18685211,33475425,23603005,23402883,29518729,31207516,26802677,33736423,19660573,26916392,23198967,32041077,30045557,28403740,31299621,25344109,23819927,19865523,26318564,34488101,9462721,36903292,25524584,27585778,28959593,23791112,27513750,30531698,35077873,34225110,31470472,31880940,29863053,35489531,35126815,18406253,34126515,22263531,24442371,17268063,21656223,33690008,23022116,33776939,33187850,30213494,22435301,31173877,35219798,23675539,11323170,33254711,21113705,34146699,26780702,29275183,18083626,28363854,20965277,27415772,34933259,37049848,25933419,19393337,31875995,29501196,25010344,25270620,30312649,22245107,28340733,36580735,24211107,18188738,32334263,28181297,27836348,33025430,27207879
Tefluthrin	cardiotoxicity	5.29	1	15980056
Caffeine	ototoxicity	-0.63	3	17898655,33888039,31267026
Caffeine	immunotoxicity	-1.42	2	16533621,30805671
Caffeine	hepatotoxicity	1.31	49	1676635,12912743,28130915,25849576,5467807,1523864,2299585,20624245,20843939,2703973,15621343,14586387,36193897,3704312,25455898,12490133,11955027,570169,1511772,28281876,9010640,3969689,9441719,6142865,23956101,18379621,15027815,16902808,29107792,7473165,8675160,7479582,8347173,9295056,30808606,15982998,20553011,28843594,11394713,7570843,21225242,24300875,20829430,18227147,11394714,16141365,3363219,33971260,22931300
Caffeine	neurotoxicity	1.07	85	27924651,28643232,31955628,29870745,34922795,19782116,26136110,23187789,12711619,27479153,19815060,19878534,17920182,17615114,16165186,9774486,2614700,29134560,16806272,2304923,15764004,18406528,25058312,28603026,32143612,20190962,26702789,26436477,21217874,3259698,35940281,33131980,22367999,16140639,33045363,27257032,12395097,21664729,23869657,17827019,25443748,21810275,26746340,28350110,24948078,16889759,22671762,19940169,26442661,29295636,3225766,25588864,19882200,19759279,29514562,22069702,11772120,35598756,18023877,7996441,34250774,34536444,32930862,29593226,26905951,11971080,12130655,24211539,21106467,21698507,2686430,29885500,14720203,12528512,34590332,21756931,34358890,20552314,15768848,34754366,29156432,24592867,24938171,10560923,16541247
Caffeine	genotoxicity	1.47	125	27707005,26436477,20936171,11050087,34981388,36250215,33045363,3679025,11103843,11912127,1723504,3702902,28524728,6493988,26231820,7045646,19903334,25733355,12557259,22301547,16093433,24148320,17005912,10496374,10328954,19733686,21784009,8950990,12604171,35868513,12732453,22382681,29438913,12385720,12847089,35093559,20126263,12678913,11313928,34974129,10531013,18691092,19584706,9820657,19797863,22925776,12067577,20716117,8090951,18082736,15782136,21577056,10635351,31025056,3106176,26595742,18616953,17018606,9237777,21593482,33226362,15119530,31597699,12527885,33920365,23220610,11677656,11390642,10229703,15155855,17726372,26338538,19961617,23555814,8625958,35649678,9635885,16687921,22487727,7075579,15699613,11376689,24956935,18617998,29352261,11312039,11255210,19758748,21324902,21103343,2185474,21768606,22561209,21185390,16491272,22564307,7513067,22766865,3512993,8837615,19137158,12154088,27471731,16061642,16705183,21782683,7688096,10485486,10809772,26851402,22296825,8700184,36156632,18325085,15962942,14643431,12388347,11215705,8584450,17920329,7511793,22558186,2918861,20353596,22226932
Caffeine	nephrotoxicity	-0.34	28	8876940,9206904,9434065,1070998,34599008,9834974,4891810,2157370,1139519,21997203,2240058,31277724,29959998,5027599,11311212,11772146,31812988,4381370,9740150,17898655,12065079,1203171,21457771,20859805,5024424,11115060,4638851,362034
Caffeine	cardiotoxicity	0.92	35	25684415,2157959,9623719,8637182,15653753,18072214,2709437,9420645,30377735,12150202,33688777,19594908,10772060,17676524,21304156,18790837,18608257,36341877,2171802,8456986,19165199,9563899,11097869,15895207,28216052,7915431,12175705,30150463,18710555,8844612,18613971,19686702,22671762,12595956,12189279
1,3-Diphenylguanidine	genotoxicity	4.01	1	35739694
1,3-Diphenylguanidine	cardiotoxicity	4.92	1	21362439
Bicuculline	neurotoxicity	2.36	52	16630593,21056592,15518643,36802490,2308142,7609869,6807671,17637606,2296016,16595155,19440498,11383620,16478529,9344228,3950916,12486488,9128164,16236140,29309796,19067329,27179409,27720918,2507307,22606332,19344668,18218077,23280249,21270946,20953240,19072766,26053879,18346762,19443935,17316905,15115601,21611853,12467895,11903457,20416982,12358781,3004930,17350613,12752460,16049923,17983731,10800953,18812886,6681871,17433624,7555967,19911010,11991087
2,4,4'-Trichlorobiphenyl	genotoxicity	4.37	3	15093247,30443001,29318322
2,4,4'-Trichlorobiphenyl	hepatotoxicity	3.91	1	29518472
2,4,4'-Trichlorobiphenyl	neurotoxicity	2.95	1	27890414
2,4,4'-Trichlorobiphenyl	immunotoxicity	6.87	2	28552772,26638015
Haloperidol	nephrotoxicity	-3.30	2	3931601,28384101
Haloperidol	hematotoxicity	0.67	1	9265911
Haloperidol	neurotoxicity	2.29	109	7486623,8584620,2380160,13903,33523404,24556705,3841192,9360014,1899117,3100965,11441209,24160710,15508939,10739324,25647612,4027575,17092607,3876139,2159831,11274875,2898576,3089336,17442543,28336342,29730027,9750003,11927170,22133307,33291692,12445574,17198209,16025420,17069804,22037410,8961772,2715145,24971362,36342586,12618056,8666047,15258451,3959761,21076901,10980261,33068931,29608114,22773435,6123407,3995358,1283403,36385437,8373932,2889659,7486639,15019964,16567023,22390943,33970844,10856442,16500086,12393773,22241281,10448427,7377401,15639785,35876936,8071874,17141345,6423702,2569693,9555021,15862515,8930783,1599504,8815956,7974204,6686715,15319335,3280563,37751,36253,26561842,15168214,8138969,28738100,8301579,4138314,3258974,16782505,18520985,2535431,8959034,11850154,10562963,3081054,9042387,15298664,1980848,8278454,18842668,15871910,21300198,23466107,4766648,10494878,21878360,12043843,8584621,10442855
Haloperidol	hepatotoxicity	0.14	7	23956101,22773435,20829430,9241012,21894094,30183185,2794104
Haloperidol	cardiotoxicity	3.95	19	16959133,15040655,7270742,15564955,9308514,28279214,15588748,11185968,11377395,10336232,24160710,6101981,14709949,12042225,33068931,26961615,25091319,27813420,2547491
Haloperidol	genotoxicity	-2.64	4	25036041,15962942,15200157,11071396
Rosiglitazone	nephrotoxicity	0.95	11	19356226,20357998,19779845,18563054,16728429,25554991,20370454,19224067,17584600,24001946,20623750
Rosiglitazone	hepatotoxicity	4.48	75	11452222,17031537,10707562,28069987,22931300,25727309,17192324,32084649,12847298,20829430,15929763,26394869,11994904,16797489,10691158,24890090,11921434,25900064,28369597,16313739,19623674,12399155,23014847,17078099,23956101,10707559,10821295,19631733,12141828,11994902,17126857,36654285,11560198,20623750,12879989,10707565,11213884,10768088,14553864,23377618,30220602,23432662,12596249,22741802,31041755,27866976,12725705,11978674,34607170,14562008,11525086,18788755,24489787,14977862,18397974,25663337,21175036,11467345,24085192,12173692,20553011,17189867,19859078,16918252,24534255,11735645,25255433,11494746,10400405,10644272,19632256,10954962,11921435,23789962,20843939
Rosiglitazone	neurotoxicity	1.20	15	25907448,19064796,19621015,36228751,25036594,28790390,26236713,22524690,24424383,24566814,25022803,26115084,35526456,20650633,11750908
Rosiglitazone	cardiotoxicity	2.49	16	34607170,21366501,31233785,26259608,24021950,23578093,26670611,25255433,24249632,31419397,22970990,33969534,27545504,28822817,24449420,31660680
Rosiglitazone	genotoxicity	-0.55	5	17078099,23859957,19861651,25907448,28743512
DEET	cardiotoxicity	1.27	2	30503814,31069958
DEET	genotoxicity	-0.62	1	12003267
DEET	immunotoxicity	3.46	2	19141786,12539864
DEET	neurotoxicity	3.35	14	8637057,7595461,14751452,19836673,31069958,21848865,8258389,18274958,11339626,14713564,8954750,14677793,25101788,1397799
N,N'-Bis(2-chloroethyl)-N-nitrosourea	cardiotoxicity	2.33	19	31282794,3983469,10828864,6354414,19584827,8400329,16160061,1655228,8241979,6366127,7847848,10816028,33306964,22321767,7655380,16247436,24704251,6422002,17026822
N,N'-Bis(2-chloroethyl)-N-nitrosourea	nephrotoxicity	2.07	23	17026822,35149851,18511375,1203891,6402926,3783209,11219485,2727993,10609804,7272960,33306964,34234243,9023274,23171711,7932197,1991698,3782261,1826720,8477204,21063408,6422002,16126841,8592171
N,N'-Bis(2-chloroethyl)-N-nitrosourea	genotoxicity	2.20	32	4027969,7689156,16020200,24259968,8188733,9692839,17374387,11525913,8439973,3180060,16908595,9393761,17213319,36053281,22788364,19303893,3507258,10485900,22046557,10854828,10626233,15454306,3692012,23578789,27198552,19484131,1947007,7791804,11062748,15380096,11358820,11733074
N,N'-Bis(2-chloroethyl)-N-nitrosourea	hematotoxicity	5.83	10	11553261,22464950,20210626,26865253,20706757,19209254,6212075,2369090,24942787,12883091
N,N'-Bis(2-chloroethyl)-N-nitrosourea	ototoxicity	3.81	10	16921039,8592171,16273313,8477204,9869217,17026822,1826720,15804144,9894965,3531110
N,N'-Bis(2-chloroethyl)-N-nitrosourea	neurotoxicity	2.57	37	17026822,6347995,3531110,4047254,17134114,21571509,16463065,25546348,19618863,6544119,14615443,3958776,16146534,1870683,22115856,3762962,7698429,21744474,8509816,8787853,6385604,2941964,15804144,18310533,11380234,3940623,10100699,15935206,22654527,19430564,17125495,7042087,18723297,396791,6354414,11990514,21600974
N,N'-Bis(2-chloroethyl)-N-nitrosourea	hepatotoxicity	2.65	20	3606627,3421708,17050205,7786158,33085777,6354414,24085192,29209924,10445391,22931300,6549010,1632811,31432377,16005536,2158237,23956101,7682342,3214175,3173337,3579917
N,N'-Bis(2-chloroethyl)-N-nitrosourea	immunotoxicity	0.28	1	15223264
Cyclophosphamide_monohydrate	cardiotoxicity	4.10	590	11181656,28130575,11378344,12796019,16891866,1889343,32940847,19768460,7349208,1649704,32540553,29882279,3530445,8535227,7803534,31230218,7935171,2044726,18462404,18607846,12515939,8478658,2323615,9476049,8085846,18548196,856438,26449182,16258083,6385260,12769340,15517007,25455004,7578376,30943501,8400329,17369601,9426329,32869692,1913227,7570271,7028245,11970749,7871966,20299794,10884501,2953934,23054649,34665971,6548066,9168442,3894276,8950332,19819776,33275987,11872048,26807857,33990415,34672241,14716771,31541628,3533179,25023062,9070503,10840930,8272153,28324265,32454939,7693420,35039259,34623620,6349786,12227700,35732790,7625366,21850390,24067476,2671436,32174608,15592494,1403033,3332169,29981795,15984521,2653660,30406945,1403071,12025891,10923100,8221579,19590893,22701146,24895339,2234455,29723224,22068815,7357493,9207869,35088106,9742636,20734400,8807123,1723374,8996589,1849442,30826225,6539459,1588381,24074879,1197900,19932589,17457949,3224403,30452398,2671279,1727913,8241979,1920253,35289086,34699004,24495297,9047803,20414025,9740078,19046106,1997473,23998543,27484957,2331537,18999883,36200320,15709217,9180391,15936473,34549658,21078249,11694788,21821545,797446,17516874,29504102,11157009,17514772,31126528,1543949,3902267,8479091,35134779,1873773,7655778,19169606,21160270,9390210,18506704,6754062,17051423,11251000,27709497,21456382,10920949,34392821,17159809,19031015,19534435,25158670,10815287,26392097,10076722,6318789,16736890,21150336,6321689,16236144,26400150,9193323,29253081,3164312,16942640,3838618,34655493,1705095,27442649,10828864,26321502,25235,12182001,16247436,12491503,15456955,21788566,3922612,30684081,10203265,27187274,15837983,28562379,24126391,2426944,2477963,30554488,1104469,9436636,9182022,10512173,16148021,35437098,23768465,17571399,6866817,15607758,33299300,19168513,3513941,8290971,11672513,15328825,15945507,9126304,30281690,6595969,12067953,17094405,17009100,11248153,3469805,30862114,1417012,2300381,15233142,10334560,17418239,30552952,36331055,26990931,7941437,29038417,16625422,2249339,7749156,25445468,20480225,25868843,19448608,28236505,34597426,3315698,16495757,10905768,3130805,16132683,17562616,3049953,25981896,26823489,33383042,3322590,2173392,28869615,2025981,12087452,10816028,19372630,31529525,11870533,2327660,20872958,1563852,29174203,7545224,3528966,3660150,9167740,1326734,8340944,17223814,7248982,6385262,30634681,12942200,11561769,2045862,15667832,7579436,35579950,28552383,16361558,10779986,2838293,35810145,3143311,23543849,35014174,2847991,1711934,23199515,32542788,3513562,29072977,10679801,6404547,21606423,16755989,21273601,9369412,9364541,11535996,1875232,9020947,8978792,30372698,26114497,10091793,16231966,19103732,10967571,21827339,34592759,10918422,24273046,9077103,11707832,23307606,128408,6548892,24469765,16722153,20682807,33116212,12222661,20308670,12506169,7987976,28190761,20133257,6506081,9093724,21438830,15161947,2398300,31851385,7716678,36250317,2538577,10477008,11908712,9849484,6387802,33504826,20177030,12597151,16317508,8205083,7670409,10374313,3020699,26262887,17185931,24464946,3137469,2897433,22909389,9336363,1567171,1586618,16085348,34711013,31792258,15701858,16575475,9328157,7655380,8535936,667863,8112650,24844787,7680306,6546298,11205227,18415035,12270055,16314622,25935793,12799623,19913261,3534581,92740,35979049,31132772,7687667,24382557,1997944,26518668,19945181,32537703,2291460,92432,11724646,16098067,36206134,18758815,33492774,20957680,7414712,9517508,25823784,12435291,4051516,24929649,2039705,23692343,8401360,11699405,20104463,1899489,9951580,2553235,2403368,15023436,19757315,30740919,23946328,11552226,6832631,12056098,24459219,3512971,13679590,11054436,26133371,11970750,29151290,12562656,22160835,7686808,31312929,19656681,8640822,36120853,25899891,19065438,23999848,10732745,10808211,1285674,9415359,17892140,16814280,26913398,31640406,1661205,9735010,29199719,9298599,33998163,2579213,30130706,9087871,30668345,23394482,2910506,12825572,16259776,28807058,11801756,27649503,16101196,2291455,8422597,15093573,15325671,17071492,16247790,10403474,28341761,15608392,19858391,27654474,19856650,25176223,33864237,28458425,27502729,17483845,32112477,7602342,8844612,3550612,6959564,2705401,25980453,7235784,19275512,12170449,31175052,11109196,18664656,7715910,34951067,15254055,28333655,24506965,8082231,19013659,8597907,23558518,30819377,33705623,26497907,11827572,19833600,3909418,9816034,31928923,3317170,24384030,19782276,16702817,6990214,18396651,12855614,29861523,11523171,18464112,22393965,8652238,15750266,9616283,9314293,12525522,17591836,16636524,27498129,6981452,17683387,21277101,3539307,23814044,17312442,6997053,25723884,33635746,18331601,18329,6208468,27079957,15685838,1304238,24192805,19251394,10334527,19169607,35385034,16382976,18457036,6851871,3840300,6354509,15367414,21438831,9193344,3907825,2910423,29582557,24144431,11474271,35762198,21218604,436854,14648210,22897825,30396014,8600333,29468886,7811398,6761595,16001993,33216199,19107109,28334703,9213324,6230422,30305499,5779984,33140109,11230490,16004198,15838014,2903085,31503352,29106497
